Account: 123456789
Statement period: 01/06/2026 - 30/06/2026

Date,Description,Debit,Credit,Balance
01/06/2026,SALARY ACME CORP,,45000.00,46500.00
02/06/2026,CHECKERS HYPER SANDTON CARD 1234,1250.45,,45249.55
03/06/2026,SHELL ULTRA CITY N1,800.00,,44449.55
04/06/2026,WOOLWORTHS FOOD ROSEBANK,634.20,,43815.35
05/06/2026,NETFLIX.COM 4829,199.00,,43616.35
06/06/2026,SPOTIFY P9F3K2,119.99,,43496.36
07/06/2026,UBER EATS *MEAL,215.50,,43280.86
08/06/2026,UBER TRIP HELP.UBER.COM,89.00,,43191.86
09/06/2026,STEAM PURCHASE GAMES,549.99,,42641.87
10/06/2026,TAKEALOT ORDER 998877,1399.00,,41242.87
12/06/2026,DISCOVERY HEALTH MEDICAL AID,2890.00,,38352.87
14/06/2026,ENGEN QUICKSHOP MIDRAND,750.00,,37602.87
15/06/2026,VODACOM PREPAID AIRTIME,200.00,,37402.87
16/06/2026,EASYEQUITIES DEPOSIT,2000.00,,35402.87
18/06/2026,PICK N PAY ON NICOL,845.67,,34557.20
20/06/2026,MONTHLY ACCOUNT FEE,135.00,,34422.20
22/06/2026,INTEREST RECEIVED,,12.45,34434.65
25/06/2026,KFC FOURWAYS DRIVE THRU,189.90,,34244.75
28/06/2026,AFRIHOST FIBRE 100MBPS,799.00,,33445.75
30/06/2026,ESKOM PREPAID ELECTRICITY,500.00,,32945.75
